,Name,Age,Year of Graduation,House,vaccine,COVID-19,american medicine,wellness,public health,bird flu,global medicine,cancer,UID,Major
0,Emily Carter,19,2027,Avery,CDC investigating hospitalizations of five people who recently received chikungunya vaccine,COVID-19 turns 5: Tell us how it changed your life,Physicians take fight for Medicare payment reform to Capitol Hill,‘The White Lotus’ New Season Tackles Our Wellness Obsession,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,"Bird flu devastates Cranberry’s Seggond Chance Farm, a sanctuary for misfit birds",Global patterns and trends in breast cancer incidence and mortality across 185 countries,Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,2205893,Bio or BioE or CNS
1,Jacob Lee,21,2025,Blacker,Vaccine meeting to prepare for coming winter’s flu season canceled,Long COVID played a role in thousands of deaths: CDC,America Is a World Leader in Medicine Development,"Wellness Weekend at the Inn features yoga, spa treatments, restaurant takeover","Travis County infant tests positive for measles, Austin Public Health says",Trump administration unveils bird flu plan as egg prices soar,Innovative finance brings new river blindness medicine to Africa,12 new breakthroughs in the fight against cancer,2205894,CS or IDS
2,Sophia Martinez,20,2026,Dabney,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,Wuhan Covid lab planning ‘ominous’ new bat experiments,"NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says",Are you falling for wellness misinformation online? Here’s how to tell,Postponing last week’s vaccine meeting endangers Americans’ health,Bird flu found in Bernalillo County,"Global Pharmaceutical Market Size to Worth USD 2845.3 Billion by 2032, Rising Healthcare Expenditure and Innovations in Drug Research Propels Growth | Research by SNS Insider",Can AI Help Predict Which Cancer Patients Should Be Treated with Immunotherapy?,2205895,ESE or GPS
3,Michael Brown,22,2024,Page,FDA cancels pivotal advisory meeting about next season's flu vaccine,"Novavax sees royalties, reduced expenses on COVID vaccines from Sanofi partnership",Telehealth advocates turn up the pressure as Medicare deadline nears,RFK Jr. proposed sending addicts to taxpayer-funded ‘wellness farms’ to tackle drug crisis,Mayor Frank Scott Jr. declares housing a public health emergency in Little Rock,The US May Start Vaccinating Chickens Against Bird Flu,Biobanking with genetics shapes precision medicine and global health,Glycoproteomic Influence on NK Cell Response in Ovarian Cancer,2205896,EE
4,Olivia Davis,19,2027,Lloyd,Childhood vaccines: What research shows about their safety and potential side effects,COVID Broke the Rules of Virus Evolution,2 in 3 physicians are using health AI—up 78% from 2023,Soap to supremacy: The rise of white wellness,"Dysentery, the diarrhea-inducing bacterial infection, on the rise in Oregon",H5 Highly Pathogenic Avian Influenza Confirmed in New Jersey Cat,The case for investing in global genomic medicine,Artificial intelligence informs solutions for gastric cancer challenges,2205897,Bio or BioE or CNS
5,Ethan Wilson,20,2026,Bechtel,First doses announced in phase 2 trial for TB vaccine candidate,"Health experts warn of a “quademic” as COVID-19, flu, RSV, and norovirus spread.","As prior authorization burden grows, so does momentum for change",New Workshops Focus on Wellness and Creativity for Grievers and Caregivers,Upheaval and firings at CDC raise fears about disease outbreak response,"Egg prices could jump 41% this year, USDA says, as Trump’s bird flu plan is unveiled",Pandemic monitoring with global aircraft-based wastewater surveillance networks,New approach for studying drug-proteoform interactions can improve cancer treatments,2205898,MechE
6,Ava Taylor,21,2025,Fleming,Do you need a measles vaccine booster? What to know as a Texas outbreak spreads,Megyn Kelly claims Pfizer COVID vaccine left her with autoimmune condition: ‘Wish I hadn’t done it’,"Annals of Family Medicine: Many Americans Overestimate U.S. Primary Care Spending, Study Finds",Deliciously Ella: ‘The wellness industry? We’re overdue some sanity’,​CDPH Warns Against Drinking Second Lot of Raw Milk Following Bird Flu Detection ​,Sandhill crane deaths from bird flu in eastern U.S. has Nebraska on alert,Sierra Leone inaugurates 1st traditional Chinese medicine center,Combination treatment strategy dramatically increases cell death in leukemia,2205899,Physics or Astro
7,Noah Anderson,22,2024,Venerable,FDA cancels vaccine advisory committee meeting,COVID Origins: Exclusive: Inside the FBI’s Lab Leak Investigation,"Reps back reforms to Medicare Physician Fee Schedule, starting with physician reimbursement",Halle Berry Says Perimenopause Made Sex Feel like 'Razor Blades',​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,Long Island duck farmer’s new hope after bird flu wipes out flock,"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025","Tel Aviv University breaks new ground in cancer detection, treatment with new innovation",2205900,MechE
8,Isabella Clark,19,2027,Ricketts,Antibody Treatment Prevents Severe Bird Flu in Monkeys,Daily briefing: Where did COVID-19 come from? Evidence points to raccoon dogs,"Use of opioid overdose antidote by laypersons rose 43% from 2020 to 2022, study finds",Explore the 'Healthiest Home in America' (and the Wellness Features Worth Incorporating),CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters ,Iconic Sandhill cranes face mass die-off in bird flu outbreak,"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO",Reimagining Cancer: Innovation-driven exploration and care,2205901,Chem or ChemE
9,Liam Carter,19,2027,Avery,FDA cancels meeting to update next season's flu vaccines,New study links COVID-19 vaccine to long-term side effects,American chaos: standing up for health and medicine,The New Thinking on Concussions in Sports,Experts worry that public health turmoil could make bird flu deadlier,Dynasty behind US egg giant looks to cash in as profits soar amid bird flu,Global effort enhances clinical care for children with rare genetic diseases,Cancer family 'financially broken' by benefits wait,2205902,CS or IDS
10,Emma Wilson,20,2026,Blacker,Vaccine interest increasing in Austin as measles outbreak in West Texas worsens,COVID Broke the Rules of Virus Evolution,Why DeepSeek Will Upend American Medicine,Halle Berry Says Perimenopause Made Sex Feel like 'Razor Blades',Left in the dark: Doctors sound the alarm over child deaths,Are egg producers inflating prices during the bird flu outbreak to boost profits?,Arinze Okafor discusses the road to precision medicine and its impact on global health,Mediterranean diet could help lower cancer risk in obesity,2205903,Bio or BioE or CNS
11,Noah Adams,21,2025,Dabney,CDC seems to defy Trump executive order by participating in WHO vaccine conference,IMUNON Announces New Immunogenicity Data from Phase 1 Clinical Trial of Its DNA Vaccine in Treatment of COVID-19,"As prior authorization burden grows, so does momentum for change",International Luxury Hotel Association And Matrix Fitness Join Forces To Redefine Wellness In Luxury Hospitality,MPs underline risks of toxic lead paint in English homes,Long Island duck farmer’s new hope after bird flu wipes out flock,"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,2205904,EE
12,Olivia Green,22,2024,Page,FDA cancels vaccine advisory committee meeting,Wuhan Covid lab planning ‘ominous’ new bat experiments,Telehealth advocates turn up the pressure as Medicare deadline nears,RFK Jr. proposed sending addicts to taxpayer-funded ‘wellness farms’ to tackle drug crisis,CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters ,The US May Start Vaccinating Chickens Against Bird Flu,"Africa’s medical system risks ‘collapse in next few years’, warns health leader",Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,2205905,MechE
13,William Harris,19,2027,Lloyd,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,COVID-19 turns 5: Tell us how it changed your life,2 in 3 physicians are using health AI—up 78% from 2023,"Wellness blogger Belle Gibson lied about having cancer. Years later, Australia is still chasing her",CDPH Warns Consumers Not to Drink Illegal Mary Jones Hemp-Infused Sodas ​​,Bird flu threatens backyard flocks in New Mexico,Sierra Leone inaugurates 1st traditional Chinese medicine center,A Rare White Blood Cell Boosts Cancer-Fighting Immune Cells,2205906,ACM
14,Ava Martinez,20,2026,Bechtel,FDA meeting to choose flu vaccine composition canceled without explanation,"Long COVID news, measles in Texas, RSV vaccine for moms, food recalls and rural health care access","NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says","The best smart rings to help track sleep, wellness and more",​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,EVOLVING BUG Two more cats positive for H5N1 bird flu amid scientists’ fears it spreads by WIND,Global patterns and trends in breast cancer incidence and mortality across 185 countries,Combination treatment strategy dramatically increases cell death in leukemia,2205907,Physics or Astro
15,James Taylor,21,2025,Fleming,CDC investigating hospitalizations of five people who recently received chikungunya vaccine,Threats poured into Granite School District after ‘misleading’ DOGE post accused officials of misusing COVID funds,America Is a World Leader in Medicine Development,Local Artist Partners with Soul Dive Yoga to Inspire Wellness for Locals 55+,​CDPH Warns Against Drinking Second Lot of Raw Milk Following Bird Flu Detection ​,USDA unveils a $1 billion plan to address the egg crisis,Better Together: Building a Global Health Network Economy through Data Collaboratio,Artificial intelligence informs solutions for gastric cancer challenges,2205908,Mathematics
